的 de5  "白 bai2, 勺 shao2, 日 ri4, 囗 wei2" 0 "有的 似的 目的 别的" "的 de5 of; (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)
有的 you3de5 (there are) some (who are...); some (exist)
似的 shi4de5 seems as if; rather like
目的 mu4di4 purpose; aim; goal; target; objective
英寸 ying1cun4 inch (unit of length equal to 2.54 cm.)
分寸 fen1cun5 propriety; appropriate behavior; proper speech or action; within the norms
方寸 fang1cun4 heart; mind"
麽 mo2 嬷摹嫫蘑膜魔模馍 "麻 ma2, 么 ma2, 广 guang3, 林 lin2, 厂 chang3, 木 mu4, 十 shi2" 1276  "麽 mo2 tiny; insignificant"
粉 fen3  "米 mi3, 分 fen1, 木 mu4, 十 shi2, 八 ba1, 刀 dao1" 1277 "粉碎 奶粉 粉丝 面粉" "粉 fen3 powder; cosmetic face powder; food prepared from starch; noodles or pasta made from any kind of flour; to turn to powder; (dialect) to whitewash; white; pink; to be a fan of
粉碎 fen3sui4 to crush; to smash; to shatter
奶粉 nai3fen3 powdered milk
粉丝 fen3si1 bean vermicelli; mung bean starch noodles; chinese vermicelli; cellophane noodles; enthusiast for sb or sth
面粉 mian4fen3 flour"
眉 mei2 梅镅霉莓嵋煤媒没 "目 mu4, 尸 shi1, 囗 wei2" 1278 "眉头 眉毛 皱眉 眉目" "眉 mei2 eyebrow; upper margin
眉头 mei2tou2 brows
眉毛 mei2mao5 eyebrow
皱眉 zhou4mei2 to frown; to knit one's brow
眉目 mei2mu4 general facial appearance; features; arrangement; sequence of ideas; logic (of writing); rough sketch or general idea of things"
腿 tui3  "退 tui4, 辶 chuo4, 艮 gen3" 1279 "大腿 双腿 小腿 火腿" "腿 tui3 leg; hip bone
大腿 da4tui3 thigh
双腿 shuang1tui3 legs; both legs; two legs
小腿 xiao3tui3 lower leg (from knee to ankle); shank
火腿 huo3tui3 ham"
颇 po1 钋䥽坡酦泼 "皮 pi2, 页 ye4, 又 you4, 贝 bei4, 人 ren2" 1280 "颇为 偏颇" "颇 po1 rather; quite; considerably; oblique; inclined; slanting
颇为 po1wei2 rather; quite
偏颇 pian1po1 biased; partial"
促 cu4 蔟醋蹙猝蹴簇 "足 zu2, 口 kou3, 人 ren2" 1281 "促进 促销 促使 催促" "促 cu4 urgent; hurried; to urge; to promote; to urge haste; close; intimate
促进 cu4jin4 to promote (an idea or cause); to advance; boost
促销 cu4xiao1 to promote sales
促使 cu4shi3 to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development)
催促 cui1cu4 to urge"
扬 yang2 洋阳垟飏钖羊旸疡  1282 "表扬 飞扬 张扬 扬州" "扬 yang2 to raise; to hoist; the action of tossing or winnowing; scattering (in the wind); to flutter; to propagate
表扬 biao3yang2 to praise; to commend
飞扬 fei1yang2 to rise; to fly upward
张扬 zhang1yang2 to display ostentatiously; to bring out into the open; to make public; to spread around; flamboyant; brash
扬州 yang2zhou1 yangzhou, prefecture-level city in jiangsu"
启 qi3 企乞棨屺芑绮岂杞 "户 hu4, 口 kou3, 尸 shi1" 1283 "启动 启发 启示 开启" "启 qi3 to open; to start; to initiate; to enlighten or awaken; to state; to inform
启动 qi3dong4 to start (a machine); (fig.) to set in motion; to launch (an operation); to activate (a plan)
启发 qi3fa1 to enlighten; to explain (a text etc); to stimulate (a mental attitude); enlightenment; revelation; motivation
启示 qi3shi4 to reveal; to enlighten; enlightenment; revelation; illumination; moral (of a story etc); lesson
开启 kai1qi3 to open; to start; (computing) to enable"
闲 xian2 鹇弦娴贤舷衔嫌𫍯 "门 men2, 木 mu4, 十 shi2" 1284 "休闲 闲聊 悠闲 闲话" "闲 xian2 enclosure; unoccupied; leisure; idle; unoccupied; leisure
休闲 xiu1xian2 leisure; relaxation; not working; idle; to enjoy leisure; to lie fallow
闲聊 xian2liao2 to chat; casual conversation
悠闲 you1xian2 leisurely; leisurely; carefree; relaxed
闲话 xian2hua4 casual conversation; chat; gossip; to talk about (whatever comes to mind)"
苹 ping2 平坪评玶帡瓶蚲屏 "平 ping2, 十 shi2, 干 gan4" 1285 苹果 "苹 ping2 (artemisia); duckweed; apple
苹果 ping2guo3 apple"
仰 yang3 痒养氧 "卬 ang2" 1286 "信仰 仰望 仰头 仰慕" "仰 yang3 to face upward; to look up; to admire; to rely on
信仰 xin4yang3 to believe in (a religion); firm belief; conviction
仰望 yang3wang4 to look up at; to look up to sb hopefully
仰头 yang3tou2 to raise one's head
仰慕 yang3mu4 to admire"
袋 dai4 黛轪待岱绐骀戴带 "代 dai4, 衣 yi1, 弋 yi4" 1287 "脑袋 袋子 麻袋 睡袋" "袋 dai4 pouch; bag; sack; pocket
脑袋 nao3dai5 head; skull; brains; mental capability
袋子 dai4zi5 bag
麻袋 ma2dai4 sack; burlap bag
睡袋 shui4dai4 sleeping bag"
浏 liu2 飗瑬留馏硫榴流镠 "刘 liu2, 文 wen2, 乂 yi4" 1288 浏览 "浏 liu2 clear; deep (of water); swift
浏览 liu2lan3 to skim over; to browse"
兼 jian1 戋搛蒹鲣奸坚监犍 "卄 nian4, 八 ba1, 十 shi2" 1289 "兼职 兼任 兼顾 兼容" "兼 jian1 double; twice; simultaneous; holding two or more (official) posts at the same time
兼职 jian1zhi2 to hold concurrent posts; concurrent job; moonlighting
兼任 jian1ren4 to hold several jobs at once; concurrent post; working part-time
兼顾 jian1gu4 to attend simultaneously to two or more things; to balance (career and family, family and education etc)
兼容 jian1rong2 compatible"
览 lan3 漤榄缆揽懒罱 "见 jian4, 儿 er2" 1290 "浏览 展览 游览 阅览" "览 lan3 to look at; to view; to read
浏览 liu2lan3 to skim over; to browse
展览 zhan3lan3 to put on display; to exhibit; exhibition; show
游览 you2lan3 to go sightseeing; to tour; to visit
阅览 yue4lan3 to read"
娜 na4 那肭纳呐钠衲捺𦰡 "女 nü3, 那 na4, 刀 dao1, 二 er4" 1291 "安娜 娜娜 婀娜" "娜 na4 (phonetic na)
安娜 an1na4 anna (name)
娜娜 na4na4 nana (name)
婀娜 e1nuo2 (of a woman's bearing) graceful; elegant; lithe"
征 zheng1 睁筝蒸争烝铮狰钲 "彳 chi4, 正 zheng4, 止 zhi3" 1292 "特征 象征 征服 征求" "征 zheng1 journey; trip; expedition; to go on long campaign; to attack; to invite; to recruit; to levy (taxes); to draft (troops); phenomenon; symptom; characteristic sign (used as proof); evidence
特征 te4zheng1 characteristic; diagnostic property; distinctive feature; trait
象征 xiang4zheng1 emblem; symbol; token; badge; to symbolize; to signify; to stand for
征服 zheng1fu2 to conquer; to subdue; to vanquish
征求 zheng1qiu2 to solicit; to seek; to request (opinions, feedback etc); to petition"
摆 bai3 佰百捭柏 "罢 ba4, 罒 wang3, 去 qu4, 囗 wei2, 土 tu3, 十 shi2" 1293 "摆脱 摆放 摆出 摆设" "摆 bai3 to arrange; to exhibit; to move to and fro; a pendulum
摆脱 bai3tuo1 to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself
摆放 bai3fang4 to set up; to arrange; to lay out
摆出 bai3chu1 to assume; to adopt (a look, pose, manner etc); to bring out for display
摆设 bai3she5 ornament; decorative item; (fig.) sth that is merely for show"
冠 guan1 官棺观倌鳏纶关蒄 "元 yuan2, 寸 cun4, 兀 wu4, 儿 er2" 1294 "冠军 夺冠 皇冠 桂冠" "冠 guan1 hat; crown; crest; cap
冠军 guan4jun1 champion
夺冠 duo2guan4 to seize the crown; fig. to win a championship; to win gold medal
皇冠 huang2guan1 crown (headgear)
桂冠 gui4guan1 laurel (as a symbol of victory or merit)"
哲 zhe2 辄谪折磔喆蛰晢詟 "折 zhe2, 口 kou3, 斤 jin1" 1295 "哲学 哲理 哲人" "哲 zhe2 wise; a sage
哲学 zhe2xue2 philosophy
哲理 zhe2li3 philosophic theory; philosophy
哲人 zhe2ren2 wise man"
庆 qing4 磬罄綮碃箐 "广 guang3, 大 da4, 厂 chang3, 人 ren2" 1296 "庆祝 国庆 庆幸 庆典" "庆 qing4 to celebrate
庆祝 qing4zhu4 to celebrate
国庆 guo2qing4 national day
庆幸 qing4xing4 to rejoice; to be glad
庆典 qing4dian3 celebration"
贷 dai4 岱玳怠轪叇绐带迨 "代 dai4, 贝 bei4, 弋 yi4, 人 ren2" 1297 "贷款 信贷 借贷 还贷" "贷 dai4 to lend on interest; to borrow; a loan; leniency; to make excuses; to pardon; to forgive
贷款 dai4kuan3 a loan; to provide a loan (e.g. bank); to raise a loan (from e.g. a bank)
信贷 xin4dai4 credit; borrowed money
借贷 jie4dai4 to borrow or lend money; debit and credit items on a balance sheet
还贷 huan2dai4 to repay a loan"
肩 jian1 缣湔兼奸犍搛鲣监 "月 yue4" 1298 "肩膀 肩头 并肩 披肩" "肩 jian1 shoulder; to shoulder (responsibilities etc)
肩膀 jian1bang3 shoulder
肩头 jian1tou2 on one's shoulders; (dialect) shoulder
并肩 bing4jian1 alongside; shoulder to shoulder; side by side; abreast
披肩 pi1jian1 cape; shawl; (of long hair) to trail over one's shoulders"
疑 yi2 簃圯颐痍胰沂咦姨 "疋 shu1, 匕 bi3, 矢 shi3, 大 da4, 人 ren2" 1299 "怀疑 无疑 疑问 疑惑" "疑 yi2 to doubt; to suspect
怀疑 huai2yi2 to doubt (sth); to be skeptical of; to have one's doubts; to harbor suspicions; to suspect that
无疑 wu2yi2 undoubtedly; without doubt; for sure
疑问 yi2wen4 question; interrogation; doubt
疑惑 yi2huo4 to doubt; to distrust; unconvincing; to puzzle over; misgivings; suspicions"
谷 gu3 馉羖钴汩贾瀔诂毂 "八 ba1, 人 ren2, 口 kou3" 1300 "峡谷 山谷 曼谷 硅谷" "谷 gu3 grain; corn; valley
峡谷 xia2gu3 canyon; gill; ravine
山谷 shan1gu3 valley; ravine
曼谷 man4gu3 bangkok, capital of thailand
硅谷 gui1gu3 silicon valley"
灭 mie4 蔑篾 "火 huo3, 人 ren2" 1301 "消灭 毁灭 灭亡 熄灭" "灭 mie4 to extinguish or put out; to go out (of a fire etc); to exterminate or wipe out; to drown
消灭 xiao1mie4 to put an end to; to annihilate; to cause to perish; to perish; annihilation (in quantum field theory)
毁灭 hui3mie4 to perish; to ruin; to destroy
灭亡 mie4wang2 to be destroyed; to become extinct; to perish; to die out; to destroy; to exterminate
熄灭 xi1mie4 to stop burning; to go out (of fire); to die out; extinguished"
雄 xiong2 熊 "隹 zhui1, 土 tu3, 十 shi2" 1302 "英雄 雄伟 雄厚 雄风" "雄 xiong2 male; staminate; grand; imposing; powerful; mighty; person or state having great power and influence
英雄 ying1xiong2 hero
雄伟 xiong2wei3 grand; imposing; magnificent; majestic
雄厚 xiong2hou4 robust; strong and solid
雄风 xiong2feng1 vigor; virility; dynamism; (literary) powerful wind"
丑 chou3 侴瞅杻 "十 shi2" 1303 "丑陋 丑闻 丑恶 小丑" "丑 chou3 clown; shameful; ugly; disgraceful
丑陋 chou3lou4 ugly
丑闻 chou3wen2 scandal
丑恶 chou3e4 ugly; repulsive
小丑 xiao3chou3 clown"
仁 ren2 人壬 "二 er4" 1304 "仁慈 仁义 仁兄 杏仁" "仁 ren2 humane; kernel
仁慈 ren2ci2 benevolent; charitable; kind; kindly; kindness; merciful
仁义 ren2yi4 benevolence and righteousness
仁兄 ren2xiong1 (honorific written address) my dear friend
杏仁 xing4ren2 almond; apricot kernel"
碗 wan3 椀菀婉琬挽脘晚惋 "石 dan4, 宛 wan3, 口 kou3, 夗 yuan4, 夕 xi1" 1305 "饭碗 碗筷 茶碗" "碗 wan3 bowl; cup
饭碗 fan4wan3 rice bowl; fig. livelihood; job; way of making a living
碗筷 wan3kuai4 bowl and chopsticks; tableware
茶碗 cha2wan3 teacup"
沿 yan2 筵岩闫𫄧炎严延檐 "口 kou3" 1306 "沿着 沿途 沿海 前沿" "沿 yan2 along; to follow (a line, tradition etc); to carry on; to trim (a border with braid, tape etc); border; edge
沿着 yan2zhe5 to go along; to follow
沿途 yan2tu2 along the sides of the road; by the wayside
沿海 yan2hai3 coastal
前沿 qian2yan2 front-line; forward position; outpost; extending ahead; frontier (of science, technology etc)"
毫 hao2 嚎豪濠壕嗥蚝貉 "口 kou3, 毛 mao2, 二 er4" 1307 "毫无 丝毫 毫米 毫升" "毫 hao2 hair; drawing brush; (in the) least; one thousandth; currency unit, 0.1 yuan
毫无 hao2wu2 not in the least; to completely lack
丝毫 si1hao2 the slightest amount or degree; a bit
毫米 hao2mi3 millimeter
毫升 hao2sheng1 milliliter"
尝 chang2 偿肠鲿苌嫦常徜 "云 yun2, 二 er4" 1308 "尝试 品尝 何尝 未尝" "尝 chang2 to taste; to try (food); to experience; (literary) ever; once; to taste
尝试 chang2shi4 to try; to attempt
品尝 pin3chang2 to taste a small amount; to sample
何尝 he2chang2 (rhetorical question) when?; how?; it's not that...
未尝 wei4chang2 not ever; not necessarily"
舒 shu1 枢书殊鄃倏菽梳毹 "舍 she3, 予 yu2, 古 gu3, 十 shi2, 口 kou3" 1309 "舒服 舒适 舒畅 舒展" "舒 shu1 to stretch; to unfold; to relax; leisurely
舒服 shu1fu5 comfortable; feeling well
舒适 shu1shi4 cozy; snug
舒畅 shu1chang4 happy; entirely free from worry
舒展 shu1zhan3 to roll out; to extend; to smooth out; to unfold"
悔 hui3 毁虺 "每 mei3, 卜 bu3, 母 mu3" 1310 "后悔 忏悔 悔恨 懊悔" "悔 hui3 (bound form) to regret; to repent
后悔 hou4hui3 to regret; to feel remorse
忏悔 chan4hui3 to repent; (religion) to confess
悔恨 hui3hen4 remorse; repentance
懊悔 ao4hui3 to feel remorse; to repent; to regret"
拨 bo1 嶓钵砵剥𬭛饽玻波 "发 fa1, 又 you4" 1311 "拨打 拨通 拨款 拨开" "拨 bo1 to push aside with the hand, foot, a stick etc; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch
拨打 bo1da3 to call; to dial
拨通 bo1tong1 to get through to sb on the phone
拨款 bo1kuan3 to allocate funds; appropriation
拨开 bo1kai1 to push aside; to part; to brush away"
纯 chun2 醇𬭚淳唇莼鹑 "屯 tun2, 凵 kan3" 1312 "单纯 纯粹 纯洁 纯真" "纯 chun2 pure; simple; unmixed; genuine
单纯 dan1chun2 simple; pure; unsophisticated; merely; purely
纯粹 chun2cui4 pure; unadulterated; purely; completely
纯洁 chun2jie2 pure; clean and honest; to purify
纯真 chun2zhen1 innocent and unaffected; pure and unadulterated"
帅 shuai4 蟀率 "巾 jin1" 1313 "帅哥 元帅 帅气 主帅" "帅 shuai4 (bound form) commander-in-chief; (bound form) to lead; to command; handsome; graceful; dashing; elegant; (chinese chess) general (on the red side, equivalent to a king in western chess)
帅哥 shuai4ge1 handsome guy; lady-killer; handsome (form of address)
元帅 yuan2shuai4 marshal (in the army)
帅气 shuai4qi5 handsome; smart; dashing; elegant
主帅 zhu3shuai4 (military) commander-in-chief; (sports) team manager; coach"
配 pei4 霈帔辔佩沛旆 "己 ji3, 西 xi1, 儿 er2, 囗 wei2" 1314 "分配 配置 搭配 配套" "配 pei4 to join; to fit; to mate; to mix; to match; to deserve; to make up (a prescription); to allocate
分配 fen1pei4 to distribute; to assign; to allocate; to partition (a hard drive)
配置 pei4zhi4 to deploy; to allocate; configuration; allocation
搭配 da1pei4 to pair up; to match; to arrange in pairs; to add sth into a group
配套 pei4tao4 to form a complete set; compatible; matching; complementary"
抹 mo3  "末 mo4, 木 mu4, 十 shi2" 1315 "抹去 涂抹 抹布 抹杀" "抹 mo3 to smear; to wipe; to erase; classifier for wisps of cloud, light-beams etc
抹去 mo3qu4 to erase
涂抹 tu2mo3 to paint; to smear; to apply (makeup etc); to doodle; to erase; to obliterate
抹布 ma1bu4 cleaning rag
抹杀 mo3sha1 to erase; to cover traces; to obliterate evidence; to expunge; to blot out; to suppress"
炼 lian4 恋练楝链𬶠潋殓瑓 "火 huo3, 人 ren2, 八 ba1" 1316 "修炼 锻炼 提炼 炼狱" "炼 lian4 to refine; to smelt
修炼 xiu1lian4 (of taoists) to practice austerities; to practice asceticism
锻炼 duan4lian4 to toughen; to temper; to engage in physical exercise; to work out; (fig.) to develop one's skills; to train oneself
提炼 ti2lian4 to extract (ore, minerals etc); to refine; to purify; to process
炼狱 lian4yu4 purgatory"
朱 zhu1 诛珠株茱诸猪潴洙 "未 wei4, 木 mu4, 十 shi2" 1317 "朱雀 朱砂 朱红" "朱 zhu1 vermilion; cinnabar
朱雀 zhu1que4 vermilion bird (the seven mansions of the south sky); rosefinch (genus carpodacus)
朱砂 zhu1sha1 cinnabar; mercuric sulfide hgs; cinnabar; mercuric sulfide hgs
朱红 zhu1hong2 vermilion"
颜 yan2 闫严檐𫄧阎沿炎筵 "彦 yan4, 页 ye4, 产 chan3, 厂 chang3, 贝 bei4, 人 ren2" 1318 "颜色 红颜 容颜 颜料" "颜 yan2 color; face; countenance
颜色 yan2se4 color; countenance; appearance; facial expression; pigment; dyestuff
红颜 hong2yan2 a beautiful woman; young beauties; youths; rosy cheeks
容颜 rong2yan2 mien; complexion
颜料 yan2liao4 paint; dye; pigment"
喂 wei4 尉卫蔚硙畏猬魏慰 "口 kou3, 畏 wei4, 田 tian2, 囗 wei2, 十 shi2" 1319 "喂养 喂奶 喂食" "喂 wei4 hey; to feed (an animal, baby, invalid etc); to feed
喂养 wei4yang3 to feed (a child, domestic animal etc); to keep; to raise (an animal)
喂奶 wei4nai3 to breast-feed
喂食 wei4shi2 to feed"
芳 fang1 钫枋牥方坊蚄邡 "方 fang1, 十 shi2, 万 wan4" 1320 "芬芳 芳香 雅芳" "芳 fang1 fragrant
芬芳 fen1fang1 perfume; fragrant
芳香 fang1xiang1 fragrant; aromatic; fragrance; aroma
雅芳 ya3fang1 avon (cosmetics company)"
藏 cang2  "臧 zang1, 十 shi2, 戕 qiang1, 臣 chen2, 爿 pan2, 戈 ge1, 弋 yi4" 1321 "收藏 西藏 隐藏 藏族" "藏 cang2 to conceal; to hide away; to harbor; to store; to collect
收藏 shou1cang2 to collect (works of art, dolls, antiques etc); to put away for safekeeping; (internet) to bookmark; a collection
西藏 xi1zang4 tibet
隐藏 yin3cang2 to hide; to conceal; to mask; to shelter; to harbor (i.e. keep sth hidden); to hide oneself; to lie low; to nestle; hidden; implicit; private; covert; recessed (lighting)
藏族 zang4zu2 tibetan ethnic group"
浅 qian3 缱肷谴遣 "戋 jian1, 戈 ge1, 弋 yi4" 1322 "肤浅 浅薄 深浅 浅色" "浅 qian3 shallow; light (color)
肤浅 fu1qian3 skin-deep; superficial; shallow
浅薄 qian3bo2 superficial
深浅 shen1qian3 deep or shallow; depth (of the sea); limits of decorum
浅色 qian3se4 light color"
钥 yao4 药鹞耀曜要靿崾 "月 yue4, 二 er4" 1323 钥匙 "钥 yue4 key
钥匙 yao4shi5 key"
略 lüe4 锊䂮圙掠 "田 tian2, 各 ge4, 囗 wei2, 十 shi2, 口 kou3" 1324 "战略 策略 忽略 侵略" "略 lüe4 brief; sketchy; outline; summary; to omit; (bound form before a single-character verb) a bit; somewhat; slightly; plan; strategy; to capture (territory)
战略 zhan4lüe4 strategy
策略 ce4lüe4 strategy; tactics; crafty; adroit
忽略 hu1lüe4 to neglect; to overlook; to ignore
侵略 qin1lüe4 to invade; invasion"
虫 chong2 崇漴 "中 zhong1, 口 kou3" 1325 "虫子 昆虫 臭虫 蝗虫" "虫 chong2 lower form of animal life, including insects, insect larvae, worms and similar creatures; (fig.) person with a particular undesirable characteristic
虫子 chong2zi5 insect; bug; worm
昆虫 kun1chong2 insect
臭虫 chou4chong2 bedbug (cimex lectularius); tick
蝗虫 huang2chong2 locust"
扫 sao3 嫂  1326 "打扫 扫描 扫地 扫帚" "扫 sao3 to sweep
打扫 da3sao3 to clean; to sweep
扫描 sao3miao2 to scan
扫地 sao3di4 to sweep the floor; (fig.) (of one's reputation etc) to reach rock bottom; to be at an all-time low
扫帚 sao4zhou5 broom"
郁 yu4 棫蜮预御潏谕遇蓣 "有 you3, 月 yue4" 1327 "郁闷 忧郁 浓郁 抑郁" "郁 yu4 (bound form) strongly fragrant; (bound form) (of vegetation) lush; luxuriant; (bound form) melancholy; depressed
郁闷 yu4men4 gloomy; depressed
忧郁 you1yu4 sullen; depressed; melancholy; dejected
浓郁 nong2yu4 rich; strong; heavy (fragrance); dense; full-bodied; intense
抑郁 yi4yu4 depressed; despondent; gloomy"
犹 you2 莜𬨎蝣由蚰邮游铀 "尤 you2, 尢 wang1" 1328 "犹豫 犹如 犹太 犹疑" "犹 you2 as if; (just) like; just as; still; yet
犹豫 you2yu4 to hesitate
犹如 you2ru2 similar to; like
犹太 you2tai4 jew; jewish; judea (in biblical palestine)
犹疑 you2yi2 to hesitate"
宅 zhai2  "七 qi1" 1329 "住宅 豪宅 民宅 宅院" "宅 zhai2 residence; (coll.) to stay in at home; to hang around at home
住宅 zhu4zhai2 residence; dwelling; abode
豪宅 hao2zhai2 grand residence; mansion
民宅 min2zhai2 house; people's homes
宅院 zhai2yuan4 house; house with a courtyard"
吵 chao3 炒 "口 kou3, 少 shao3, 八 ba1" 1330 "吵架 争吵 吵醒 吵闹" "吵 chao3 to quarrel; to make a noise; noisy; to disturb by making a noise
吵架 chao3jia4 to quarrel; to have a row; quarrel
争吵 zheng1chao3 to quarrel; dispute
吵醒 chao3xing3 to wake sb up with a noise
吵闹 chao3nao4 noisy; raucous; to shout and scream"
凉 liang2 椋梁俍辌𫟅粱粮良 "京 jing1, 口 kou3, 小 xiao3, 八 ba1" 1331 "冰凉 凄凉 清凉 荒凉" "凉 liang2 cool; cold
冰凉 bing1liang2 ice-cold
凄凉 qi1liang2 mournful; miserable; desolate (place)
清凉 qing1liang2 cool; refreshing; (of clothing) skimpy; revealing
荒凉 huang1liang2 desolate"
善 shan4 墡疝嬗蟮膳缮汕嶦 "羊 yang2, 口 kou3, 二 er4" 1332 "改善 善良 完善 善于" "善 shan4 good (virtuous); benevolent; well-disposed; good at sth; to improve or perfect
改善 gai3shan4 to make better; to improve
善良 shan4liang2 good and honest; kindhearted
完善 wan2shan4 (of systems, facilities etc) comprehensive; well-developed; excellent; to refine; to improve
善于 shan4yu2 to be good at; to be adept at"
吾 wu2 芜郚浯峿唔珸毋鹀 "五 wu3, 口 kou3" 1333 "支吾 吾人" "吾 wu2 my
支吾 zhi1wu2 to resist; to deal with
吾人 wu2ren2 (literary) we; us"
耶 ye1 噎椰掖倻 "耳 er3" 1334 "耶稣 耶鲁" "耶 ye1 (phonetic ye)
耶稣 ye1su1 jesus
耶鲁 ye1lu3 yale"
郎 lang2 榔筤稂桹螂锒廊狼 "良 liang2, 艮 gen3" 1335 "女郎 新郎 法郎 郎中" "郎 lang2 (arch.) minister; official; noun prefix denoting function or status; a youth
女郎 nü3lang2 young woman; maiden; girl
新郎 xin1lang2 bridegroom; groom
法郎 fa3lang2 franc
郎中 lang2zhong1 doctor (chinese medicine); companions (respectful)"
戴 dai4 殆贷带怠骀埭绐叇 "戈 ge1, 十 shi2, 弋 yi4, 田 tian2, 共 gong4, 囗 wei2, 八 ba1, 卄 nian4" 1336 "戴上 穿戴 戴维 爱戴" "戴 dai4 to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support
戴上 dai4shang5 to put on (hat etc)
穿戴 chuan1dai4 to dress; clothing
戴维 dai4wei2 davy; davey; davie; david
爱戴 ai4dai4 to love and respect; love and respect"
扑 pu1 铺噗潽 "卜 bu3" 1337 "扑克 扑通 扑鼻 扑灭" "扑 pu1 to throw oneself at; to pounce on; to devote one's energies; to flap; to flutter; to dab; to pat; to bend over
扑克 pu1ke4 playing cards
扑通 pu1tong1 plop
扑鼻 pu1bi2 to assail the nostrils (of fragrance and odors)
扑灭 pu1mie4 to eradicate; to extinguish"
臭 chou4  "自 zi4, 犬 quan3, 目 mu4, 囗 wei2, 大 da4, 人 ren2" 1338 "臭味 臭气 臭虫 臭骂" "臭 chou4 stench; smelly; to smell (bad); repulsive; loathsome; terrible; bad; severely; ruthlessly; dud (ammunition)
臭味 chou4wei4 bad smell; foul odor
臭气 chou4qi4 stench
臭虫 chou4chong2 bedbug (cimex lectularius); tick
臭骂 chou4ma4 tongue-lashing; to chew out"
烂 lan4 滥 "火 huo3, 人 ren2, 三 san1, 二 er4" 1339 "灿烂 破烂 腐烂 绚烂" "烂 lan4 soft; mushy; well-cooked and soft; to rot; to decompose; rotten; worn out; chaotic; messy; utterly; thoroughly; crappy; bad
灿烂 can4lan4 to glitter; brilliant; splendid
破烂 po4lan4 worn-out; dilapidated; tattered; ragged; (coll.) rubbish; junk
腐烂 fu3lan4 to rot; to putrefy; (fig.) corrupt
绚烂 xuan4lan4 splendid; gorgeous; dazzling"
吴 wu2 铻毋郚鹀峿无蜈吾 "口 kou3, 天 tian1, 大 da4, 人 ren2" 1340 "吴国 吴越" "吴 wu2 area comprising southern jiangsu, northern zhejiang and shanghai; name of states in southern china at different historical periods
吴国 wu2guo2 wu state (in south china, in different historical periods)
吴越 wu2yue4 states of south china in different historical periods; proverbially perpetual arch-enemies"
脱 tuo1 拖圫托侂 "月 yue4, 兑 dui4, 兄 xiong1, 口 kou3, 儿 er2" 1341 "摆脱 脱离 脱下 解脱" "脱 tuo1 to shed; to take off; to escape; to get away from
摆脱 bai3tuo1 to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself
脱离 tuo1li2 to separate oneself from; to break away from; diastasis (medicine); abscission; abjunction (botany)
脱下 tuo1xia4 to take off (clothing)
解脱 jie3tuo1 to untie; to free; to absolve of; to get free of; to extirpate oneself"
祝 zhu4 助疰柱箸筑著杼苎 "兄 xiong1, 卜 bu3, 口 kou3, 儿 er2" 1342 "祝福 庆祝 祝贺 祝愿" "祝 zhu4 to wish; to express good wishes; to pray
祝福 zhu4fu2 blessings; to wish sb well
庆祝 qing4zhu4 to celebrate
祝贺 zhu4he4 to congratulate; congratulations
祝愿 zhu4yuan4 to wish"
傻 sha3   1343 "傻瓜 傻子 傻笑 傻眼" "傻 sha3 foolish
傻瓜 sha3gua1 idiot; fool
傻子 sha3zi5 idiot; fool
傻笑 sha3xiao4 to giggle; to laugh foolishly; to smirk; to simper
傻眼 sha3yan3 stunned; struck dumb; flabbergasted"
甜 tian2 畋田阗填湉沺盷恬 "舌 she2, 甘 gan1, 千 qian1, 口 kou3, 十 shi2, 廿 nian4, 卄 nian4" 1344 "甜蜜 甜美 香甜 甜点" "甜 tian2 sweet
甜蜜 tian2mi4 sweet; happy
甜美 tian2mei3 sweet; pleasant; happy
香甜 xiang1tian2 fragrant and sweet; sound (sleep)
甜点 tian2dian3 dessert"
吊 diao4 掉铞钓铫调窎 "口 kou3, 巾 jin1" 1345 "上吊 吊死 吊灯 吊唁" "吊 diao4 to suspend; to hang up; to hang a person; a string of 100 cash (arch.); to lament; to condole with
上吊 shang4diao4 to hang oneself
吊死 diao4si3 death by hanging; to hang oneself
吊灯 diao4deng1 hanging lamp
吊唁 diao4yan4 to offer condolences (for the deceased); to condole"
柳 liu3 锍罶绺珋 "木 mu4, 卯 mao3, 十 shi2" 1346 "杨柳 柳树 柳州 柳条" "柳 liu3 willow
杨柳 yang2liu3 willow tree; poplar and willow; name of traditional tune
柳树 liu3shu4 willow
柳州 liu3zhou1 liuzhou prefecture-level city in guangxi
柳条 liu3tiao2 willow; willow branches; wicker (material for basketwork)"
哼 heng1 亨 "口 kou3, 亨 heng1, 了 le5" 1347 哼唱 "哼 heng1 to groan; to snort; to hum; to croon
哼唱 heng1chang4 to hum; to croon"
宁 ning2 凝拧柠聍苧咛狞 "丁 ding1" 1348 "宁静 宁愿 宁可 宁波" "宁 ning2 peaceful; to pacify; to visit (one's parents etc)
宁静 ning2jing4 tranquil; tranquility; serenity
